"sample","campaignid","relief.rank"
"21","2022-05_PtCloates_stereo-BRUVS",1
"21","2022-05_PtCloates_stereo-BRUVS",2
"21","2022-05_PtCloates_stereo-BRUVS",2
"21","2022-05_PtCloates_stereo-BRUVS",3
"21","2022-05_PtCloates_stereo-BRUVS",2
"22","2022-05_PtCloates_stereo-BRUVS",0
"22","2022-05_PtCloates_stereo-BRUVS",2
"22","2022-05_PtCloates_stereo-BRUVS",1
"22","2022-05_PtCloates_stereo-BRUVS",1
"22","2022-05_PtCloates_stereo-BRUVS",2
"22","2022-05_PtCloates_stereo-BRUVS",1
"22","2022-05_PtCloates_stereo-BRUVS",3
"22","2022-05_PtCloates_stereo-BRUVS",2
"22","2022-05_PtCloates_stereo-BRUVS",2
"22","2022-05_PtCloates_stereo-BRUVS",1
"23","2022-05_PtCloates_stereo-BRUVS",0
"23","2022-05_PtCloates_stereo-BRUVS",0
"23","2022-05_PtCloates_stereo-BRUVS",0
"23","2022-05_PtCloates_stereo-BRUVS",0
"23","2022-05_PtCloates_stereo-BRUVS",0
"23","2022-05_PtCloates_stereo-BRUVS",0
"23","2022-05_PtCloates_stereo-BRUVS",0
"23","2022-05_PtCloates_stereo-BRUVS",0
"23","2022-05_PtCloates_stereo-BRUVS",0
"23","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"24","2022-05_PtCloates_stereo-BRUVS",0
"25","2022-05_PtCloates_stereo-BRUVS",1
"25","2022-05_PtCloates_stereo-BRUVS",0
"25","2022-05_PtCloates_stereo-BRUVS",2
"25","2022-05_PtCloates_stereo-BRUVS",0
"25","2022-05_PtCloates_stereo-BRUVS",2
"25","2022-05_PtCloates_stereo-BRUVS",0
"25","2022-05_PtCloates_stereo-BRUVS",1
"25","2022-05_PtCloates_stereo-BRUVS",1
"25","2022-05_PtCloates_stereo-BRUVS",2
"25","2022-05_PtCloates_stereo-BRUVS",1
"26","2022-05_PtCloates_stereo-BRUVS",0
"26","2022-05_PtCloates_stereo-BRUVS",0
"26","2022-05_PtCloates_stereo-BRUVS",0
"26","2022-05_PtCloates_stereo-BRUVS",0
"26","2022-05_PtCloates_stereo-BRUVS",0
"26","2022-05_PtCloates_stereo-BRUVS",0
"26","2022-05_PtCloates_stereo-BRUVS",0
"26","2022-05_PtCloates_stereo-BRUVS",0
"26","2022-05_PtCloates_stereo-BRUVS",0
"26","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"27","2022-05_PtCloates_stereo-BRUVS",0
"28","2022-05_PtCloates_stereo-BRUVS",1
"28","2022-05_PtCloates_stereo-BRUVS",0
"28","2022-05_PtCloates_stereo-BRUVS",1
"28","2022-05_PtCloates_stereo-BRUVS",0
"28","2022-05_PtCloates_stereo-BRUVS",1
"28","2022-05_PtCloates_stereo-BRUVS",0
"28","2022-05_PtCloates_stereo-BRUVS",1
"28","2022-05_PtCloates_stereo-BRUVS",1
"28","2022-05_PtCloates_stereo-BRUVS",1
"28","2022-05_PtCloates_stereo-BRUVS",1
"29","2022-05_PtCloates_stereo-BRUVS",3
"29","2022-05_PtCloates_stereo-BRUVS",1
"29","2022-05_PtCloates_stereo-BRUVS",0
"29","2022-05_PtCloates_stereo-BRUVS",3
"29","2022-05_PtCloates_stereo-BRUVS",1
"29","2022-05_PtCloates_stereo-BRUVS",0
"29","2022-05_PtCloates_stereo-BRUVS",3
"29","2022-05_PtCloates_stereo-BRUVS",1
"29","2022-05_PtCloates_stereo-BRUVS",1
"29","2022-05_PtCloates_stereo-BRUVS",3
"29","2022-05_PtCloates_stereo-BRUVS",1
"29","2022-05_PtCloates_stereo-BRUVS",0
"29","2022-05_PtCloates_stereo-BRUVS",3
"29","2022-05_PtCloates_stereo-BRUVS",1
"29","2022-05_PtCloates_stereo-BRUVS",0
"2","2022-05_PtCloates_stereo-BRUVS",2
"2","2022-05_PtCloates_stereo-BRUVS",3
"2","2022-05_PtCloates_stereo-BRUVS",2
"2","2022-05_PtCloates_stereo-BRUVS",3
"2","2022-05_PtCloates_stereo-BRUVS",3
"2","2022-05_PtCloates_stereo-BRUVS",3
"2","2022-05_PtCloates_stereo-BRUVS",2
"2","2022-05_PtCloates_stereo-BRUVS",3
"2","2022-05_PtCloates_stereo-BRUVS",2
"2","2022-05_PtCloates_stereo-BRUVS",3
"2","2022-05_PtCloates_stereo-BRUVS",3
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",1
"30","2022-05_PtCloates_stereo-BRUVS",1
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",0
"30","2022-05_PtCloates_stereo-BRUVS",0
"31","2022-05_PtCloates_stereo-BRUVS",1
"31","2022-05_PtCloates_stereo-BRUVS",0
"31","2022-05_PtCloates_stereo-BRUVS",1
"31","2022-05_PtCloates_stereo-BRUVS",0
"31","2022-05_PtCloates_stereo-BRUVS",1
"31","2022-05_PtCloates_stereo-BRUVS",0
"31","2022-05_PtCloates_stereo-BRUVS",0
"31","2022-05_PtCloates_stereo-BRUVS",0
"31","2022-05_PtCloates_stereo-BRUVS",0
"31","2022-05_PtCloates_stereo-BRUVS",0
"32","2022-05_PtCloates_stereo-BRUVS",1
"32","2022-05_PtCloates_stereo-BRUVS",1
"32","2022-05_PtCloates_stereo-BRUVS",1
"32","2022-05_PtCloates_stereo-BRUVS",1
"32","2022-05_PtCloates_stereo-BRUVS",0
"32","2022-05_PtCloates_stereo-BRUVS",0
"32","2022-05_PtCloates_stereo-BRUVS",0
"32","2022-05_PtCloates_stereo-BRUVS",0
"32","2022-05_PtCloates_stereo-BRUVS",0
"32","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"33","2022-05_PtCloates_stereo-BRUVS",0
"34","2022-05_PtCloates_stereo-BRUVS",1
"34","2022-05_PtCloates_stereo-BRUVS",1
"34","2022-05_PtCloates_stereo-BRUVS",1
"34","2022-05_PtCloates_stereo-BRUVS",0
"34","2022-05_PtCloates_stereo-BRUVS",1
"34","2022-05_PtCloates_stereo-BRUVS",0
"34","2022-05_PtCloates_stereo-BRUVS",1
"34","2022-05_PtCloates_stereo-BRUVS",0
"34","2022-05_PtCloates_stereo-BRUVS",0
"34","2022-05_PtCloates_stereo-BRUVS",0
"35","2022-05_PtCloates_stereo-BRUVS",1
"35","2022-05_PtCloates_stereo-BRUVS",0
"35","2022-05_PtCloates_stereo-BRUVS",0
