"campaignid","sample","depth","multibeam_derivatives_depth","multibeam_derivatives_detrended","multibeam_derivatives_roughness","multibeam_derivatives_tpi","longitude","latitude"
"2020-10_south-west_BOSS","81",43.3,43.4125823974609,0.479918509721756,0.183074951171875,0.136307716369629,305484.423181987,6224893.11384794
"2020-10_south-west_BOSS","92",41.3,43.2012519836426,0.00711115216836333,0.339069366455078,0.080686092376709,305023.101528095,6224883.58024125
"2020-10_south-west_BOSS","210",43.9,43.5247955322266,-1.6286563873291,0.300830841064453,0.112308502197266,303852.484263873,6225691.45972611
"2020-10_south-west_BOSS","336",43.1,43.8972930908203,-1.67912864685059,0.151397705078125,-0.00186395645141602,303163.216762634,6225543.9434648
"2020-10_south-west_BOSS","195",44.4,44.340503692627,-0.899808824062347,0.1824951171875,0.0919733047485352,302474.200085263,6225385.28495003
"2020-10_south-west_BOSS","199",42.7,43.6352996826172,-1.19106411933899,0.199954986572266,-0.0201983451843262,302687.465747334,6226221.9307994
"2020-10_south-west_BOSS","16",41.4,42.2122459411621,-0.852414846420288,0.289863586425781,0.0325288772583008,303350.646260467,6227622.74260053
"2020-10_south-west_BOSS","17",41,41.7653884887695,0.405195385217667,0.312583923339844,0.169546127319336,304019.797197205,6228746.22667004
"2020-10_south-west_BOSS","34",41.4,41.6606178283691,-0.0639549940824509,0.176589965820312,-0.00806236267089844,303552.511527637,6229013.89964849
"2020-10_south-west_BOSS","15",41.6,41.617073059082,-0.362904489040375,0.256401062011719,0.0293059349060059,303090.983876808,6229004.28065175
"2020-10_south-west_BOSS","223",44.2,44.4949531555176,0.260940164327621,0.405399322509766,0.0458383560180664,301268.230109341,6227856.49243715
"2020-10_south-west_BOSS","225",45.2,46.706298828125,1.37438118457794,0.195041656494141,-0.0621657371520996,300114.538647762,6227832.11662549
"2020-10_south-west_BOSS","222",46.9,47.0439567565918,1.30235433578491,0.195056915283203,0.0548009872436523,299872.036442759,6228381.76986475
"2020-10_south-west_BOSS","C03.1",42.4,45.8998794555664,0.32085183262825,1.47704696655273,-0.40254545211792,300646.075334745,6228371.74851688
"2020-10_south-west_BOSS","C03.2",43.4,45.8998794555664,0.32085183262825,1.47704696655273,-0.40254545211792,300646.075334745,6228371.74851688
"2020-10_south-west_BOSS","226",44,45.0211296081543,-0.179352641105652,0.207164764404297,0.0514616966247559,301019.949302998,6228683.44389653
"2020-10_south-west_BOSS","224",44.9,45.6091728210449,0.497263580560684,0.0861625671386719,-0.0221343040466309,300552.571698723,6228950.97217037
"2020-10_south-west_BOSS","220",43.9,45.2009201049805,-0.845017611980438,0.0733718872070312,0.0378780364990234,301002.409918843,6229515.2583426
"2020-10_south-west_BOSS","353",45,45.786060333252,-0.112640351057053,0.184505462646484,0.0196280479431152,300555.095999399,6229705.54143447
"2020-10_south-west_BOSS","201",46.3,46.384220123291,0.892811596393585,0.10882568359375,-0.028907299041748,300079.293510447,6229495.75050054
"2020-10_south-west_BOSS","72",43.3,44.8430213928223,-1.72092986106873,0.18341064453125,0.0147738456726074,301186.487961299,6231738.2873987
"2020-10_south-west_BOSS","75",42.6,43.1029815673828,-1.18898677825928,0.446128845214844,0.139396190643311,301873.170695348,6232030.1077377
"2020-10_south-west_BOSS","74",43.2,43.5689544677734,-1.13007092475891,0.316249847412109,0.109925270080566,301630.687806994,6232579.80309414
"2020-10_south-west_BOSS","73",42.2,42.7161407470703,-0.868127167224884,0.242790222167969,-0.0257978439331055,302323.246274135,6232594.31818
"2020-10_south-west_BOSS","264",42.4,43.5230560302734,-0.350052684545517,0.234859466552734,0.000542640686035156,303685.321108959,6233732.26799473
"2020-10_south-west_BOSS","66",42.5,44.0423583984375,-0.0375834405422211,0.146030426025391,0.000322341918945312,304372.218859645,6234023.89585105
"2020-10_south-west_BOSS","339",42.1,42.7250862121582,0.999251008033752,0.965576171875,0.283279895782471,304100.714530113,6234195.80045307
"2020-10_south-west_BOSS","308",125,127.866645812988,3.94907999038696,0.193092346191406,-0.00247764587402344,290522.008113062,6223185.28959151
"2020-10_south-west_BOSS","333",125,129.647750854492,5.52105045318604,0.367050170898438,-0.095428466796875,290175.888919993,6222977.84323791
"2020-10_south-west_BOSS","62",108,107.036926269531,-4.97254419326782,0.24603271484375,0.0132293701171875,294036.13302818,6220766.08311546
"2020-10_south-west_BOSS","297",115,116.370498657227,-2.0041389465332,0.101310729980469,0.0440769195556641,292354.867368506,6223780.70496593
"2020-10_south-west_BOSS","295",112,111.7490234375,-3.23694920539856,0.197990417480469,0.0472173690795898,292810.065991449,6224068.14103625
"2020-10_south-west_BOSS","331",111,113.88614654541,-3.43721699714661,0.232673645019531,-0.040745735168457,292446.521913873,6224648.25712737
"2020-10_south-west_BOSS","313",105,105.373764038086,-2.32152485847473,0.238517761230469,0.0803260803222656,293022.449636413,6224905.04801731
"2020-10_south-west_BOSS","329",118,119.778900146484,3.15479350090027,0.103721618652344,-0.0515842437744141,290195.316405383,6228326.89942317
"2020-10_south-west_BOSS","117",112,113.862808227539,-2.76306700706482,0.185226440429688,-0.0459804534912109,291327.966961756,6228474.08034142
"2020-10_south-west_BOSS","113",111,112.547088623047,-2.78835320472717,0.210342407226562,-0.0128755569458008,291315.703298401,6229028.63810597
"2020-10_south-west_BOSS","115",111,113.649406433105,-2.67671537399292,0.07550048828125,0.0100812911987305,291072.649423443,6229578.08985131
"2020-10_south-west_BOSS","4",60,66.2652206420898,3.43141436576843,0.433219909667969,-0.0322818756103516,295317.151432333,6225509.98227064
"2020-10_south-west_BOSS","5",66,67.4353408813477,7.5196967124939,0.849044799804688,0.218197822570801,294849.742001418,6225777.22952122
"2020-10_south-west_BOSS","1",62.6,65.679084777832,3.1407470703125,0.737953186035156,-0.11541748046875,295056.329545165,6226891.35482641
"2020-10_south-west_BOSS","3",61.4,63.9110870361328,-0.904686212539673,0.176128387451172,-0.109888076782227,295511.760016466,6227178.64814791
